false_positive_rate,feature_set,partition,true_positive_rate
0.0,full,test,0.0
0.002183406113537118,full,test,0.0
0.002183406113537118,full,test,0.06593406593406594
0.004366812227074236,full,test,0.06593406593406594
0.004366812227074236,full,test,0.12454212454212454
0.006550218340611353,full,test,0.12454212454212454
0.006550218340611353,full,test,0.14285714285714285
0.008733624454148471,full,test,0.14285714285714285
0.008733624454148471,full,test,0.1684981684981685
0.010917030567685589,full,test,0.1684981684981685
0.010917030567685589,full,test,0.2490842490842491
0.013100436681222707,full,test,0.2490842490842491
0.013100436681222707,full,test,0.27472527472527475
0.015283842794759825,full,test,0.27472527472527475
0.015283842794759825,full,test,0.315018315018315
0.019650655021834062,full,test,0.315018315018315
0.019650655021834062,full,test,0.336996336996337
0.021834061135371178,full,test,0.336996336996337
0.021834061135371178,full,test,0.3443223443223443
0.024017467248908297,full,test,0.3443223443223443
0.024017467248908297,full,test,0.4139194139194139
0.026200873362445413,full,test,0.4139194139194139
0.026200873362445413,full,test,0.4432234432234432
0.03056768558951965,full,test,0.4432234432234432
0.03056768558951965,full,test,0.48717948717948717
0.03275109170305677,full,test,0.48717948717948717
0.03275109170305677,full,test,0.4908424908424908
0.034934497816593885,full,test,0.4908424908424908
0.034934497816593885,full,test,0.4981684981684982
0.03711790393013101,full,test,0.4981684981684982
0.03711790393013101,full,test,0.5128205128205128
0.039301310043668124,full,test,0.5128205128205128
0.039301310043668124,full,test,0.5201465201465202
0.04148471615720524,full,test,0.5201465201465202
0.04148471615720524,full,test,0.5274725274725275
0.04585152838427948,full,test,0.5274725274725275
0.04585152838427948,full,test,0.5311355311355311
0.048034934497816595,full,test,0.5311355311355311
0.048034934497816595,full,test,0.5531135531135531
0.05021834061135371,full,test,0.5531135531135531
0.05021834061135371,full,test,0.5714285714285714
0.05240174672489083,full,test,0.5714285714285714
0.05240174672489083,full,test,0.5824175824175825
0.05458515283842795,full,test,0.5824175824175825
0.05458515283842795,full,test,0.608058608058608
0.056768558951965066,full,test,0.608058608058608
0.056768558951965066,full,test,0.6153846153846154
0.05895196506550218,full,test,0.6153846153846154
0.05895196506550218,full,test,0.6373626373626373
0.0611353711790393,full,test,0.6373626373626373
0.0611353711790393,full,test,0.6446886446886447
0.06331877729257641,full,test,0.6446886446886447
0.06331877729257641,full,test,0.6483516483516484
0.06550218340611354,full,test,0.6483516483516484
0.06550218340611354,full,test,0.652014652014652
0.06768558951965066,full,test,0.652014652014652
0.06768558951965066,full,test,0.6703296703296703
0.06986899563318777,full,test,0.6703296703296703
0.06986899563318777,full,test,0.706959706959707
0.07205240174672489,full,test,0.706959706959707
0.07205240174672489,full,test,0.7106227106227107
0.07641921397379912,full,test,0.7106227106227107
0.07641921397379912,full,test,0.7142857142857143
0.07860262008733625,full,test,0.7142857142857143
0.07860262008733625,full,test,0.717948717948718
0.08078602620087336,full,test,0.717948717948718
0.08078602620087336,full,test,0.7289377289377289
0.08296943231441048,full,test,0.7289377289377289
0.08296943231441048,full,test,0.7326007326007326
0.09170305676855896,full,test,0.7326007326007326
0.09170305676855896,full,test,0.7472527472527473
0.09388646288209607,full,test,0.7472527472527473
0.09388646288209607,full,test,0.7582417582417582
0.09606986899563319,full,test,0.7582417582417582
0.09606986899563319,full,test,0.7802197802197802
0.0982532751091703,full,test,0.7802197802197802
0.0982532751091703,full,test,0.7912087912087912
0.10262008733624454,full,test,0.7912087912087912
0.10262008733624454,full,test,0.7948717948717948
0.10698689956331878,full,test,0.7948717948717948
0.10698689956331878,full,test,0.7985347985347986
0.11790393013100436,full,test,0.7985347985347986
0.11790393013100436,full,test,0.8058608058608059
0.1222707423580786,full,test,0.8058608058608059
0.1222707423580786,full,test,0.8131868131868132
0.12445414847161572,full,test,0.8131868131868132
0.12445414847161572,full,test,0.8241758241758241
0.12882096069868995,full,test,0.8241758241758241
0.12882096069868995,full,test,0.8315018315018315
0.13100436681222707,full,test,0.8315018315018315
0.13100436681222707,full,test,0.8351648351648352
0.1331877729257642,full,test,0.8351648351648352
0.1331877729257642,full,test,0.8534798534798534
0.13537117903930132,full,test,0.8534798534798534
0.13537117903930132,full,test,0.8608058608058609
0.14410480349344978,full,test,0.8608058608058609
0.14410480349344978,full,test,0.9010989010989011
0.14847161572052403,full,test,0.9010989010989011
0.14847161572052403,full,test,0.9047619047619048
0.15065502183406113,full,test,0.9047619047619048
0.15065502183406113,full,test,0.9084249084249084
0.15283842794759825,full,test,0.9084249084249084
0.15283842794759825,full,test,0.9120879120879121
0.17467248908296942,full,test,0.9120879120879121
0.17467248908296942,full,test,0.9157509157509157
0.2074235807860262,full,test,0.9157509157509157
0.2074235807860262,full,test,0.9230769230769231
0.21397379912663755,full,test,0.9230769230769231
0.21397379912663755,full,test,0.9267399267399268
0.2183406113537118,full,test,0.9267399267399268
0.2183406113537118,full,test,0.9340659340659341
0.2336244541484716,full,test,0.9340659340659341
0.2336244541484716,full,test,0.945054945054945
0.23799126637554585,full,test,0.945054945054945
0.23799126637554585,full,test,0.9487179487179487
0.24890829694323144,full,test,0.9487179487179487
0.24890829694323144,full,test,0.9523809523809523
0.2576419213973799,full,test,0.9523809523809523
0.2576419213973799,full,test,0.9597069597069597
0.259825327510917,full,test,0.9597069597069597
0.259825327510917,full,test,0.9633699633699634
0.26419213973799127,full,test,0.9633699633699634
0.26419213973799127,full,test,0.967032967032967
0.27074235807860264,full,test,0.967032967032967
0.27074235807860264,full,test,0.9743589743589743
0.2838427947598253,full,test,0.9743589743589743
0.2838427947598253,full,test,0.978021978021978
0.35152838427947597,full,test,0.978021978021978
0.35152838427947597,full,test,0.9816849816849816
0.39956331877729256,full,test,0.9816849816849816
0.39956331877729256,full,test,0.9853479853479854
0.4650655021834061,full,test,0.9853479853479854
0.4650655021834061,full,test,0.989010989010989
0.4868995633187773,full,test,0.989010989010989
0.4868995633187773,full,test,0.9926739926739927
0.5676855895196506,full,test,0.9926739926739927
0.5676855895196506,full,test,0.9963369963369964
0.6986899563318777,full,test,0.9963369963369964
0.6986899563318777,full,test,1.0
1.0,full,test,1.0
0.0,full,train,0.0
0.0002346866932644919,full,train,0.0
0.0002346866932644919,full,train,0.00216076058772688
0.0004693733865289838,full,train,0.00216076058772688
0.0004693733865289838,full,train,0.004753673292999135
0.0007040600797934757,full,train,0.004753673292999135
0.0007040600797934757,full,train,0.01901469317199654
0.0011734334663224596,full,train,0.01901469317199654
0.0011734334663224596,full,train,0.024632670700086432
0.0014081201595869514,full,train,0.024632670700086432
